,tweet,remove_user,remove_http,tweet_clean,Tweet
104,@falla_adinda OMNIBUSLAW CIPTA KERJA, OMNIBUSLAW CIPTA KERJA, OMNIBUSLAW CIPTA KERJA,"['omnibuslaw', 'cipta', 'kerja']",omnibuslaw cipta kerja
23,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia. https://t.co/6A1WFMutpx,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia. https://t.co/6A1WFMutpx,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air UUCiptaKerja DukungUUCiptaker CiptakerSejahterakanRakyat CiptakerMembangunIndonesia. https://t.co/AWFMutpx,"['omnibuslaw', 'cipta', 'kerja', 'langkah', 'mamacu', 'investasi', 'tanah', 'air', 'uuciptakerja', 'dukunguuciptaker', 'ciptakersejahterakanrakyat', 'ciptakermembangunindonesia']",omnibuslaw cipta kerja langkah mamacu investasi tanah air uuciptakerja dukunguuciptaker ciptakersejahterakanrakyat ciptakermembangunindonesia
24,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia. https://t.co/2nxWSuA8Lz,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia. https://t.co/2nxWSuA8Lz,Omnibuslaw Cipta kerja merupakan langkah besar untuk mamacu investasi di tanah air UUCiptaKerja DukungUUCiptaker CiptakerSejahterakanRakyat CiptakerMembangunIndonesia. https://t.co/nxWSuALz,"['omnibuslaw', 'cipta', 'kerja', 'langkah', 'mamacu', 'investasi', 'tanah', 'air', 'uuciptakerja', 'dukunguuciptaker', 'ciptakersejahterakanrakyat', 'ciptakermembangunindonesia']",omnibuslaw cipta kerja langkah mamacu investasi tanah air uuciptakerja dukunguuciptaker ciptakersejahterakanrakyat ciptakermembangunindonesia
318,"#OmnibusLaw #Kericuhan #Ciptakerja

youtu.be/Kw81Z37h-o4

Suasana Tegang Aksi Tolak UU Cipta Kerja di Bandung","#OmnibusLaw #Kericuhan #Ciptakerja

youtu.be/Kw81Z37h-o4

Suasana Tegang Aksi Tolak UU Cipta Kerja di Bandung","OmnibusLaw Kericuhan Ciptakerja

youtu.be/KwZh-o

Suasana Tegang Aksi Tolak UU Cipta Kerja di Bandung","['omnibuslaw', 'ricuh', 'ciptakerja', 'youtu be kwzh-o', 'suasana', 'tegang', 'aksi', 'tolak', 'uu', 'cipta', 'kerja', 'bandung']",omnibuslaw ricuh ciptakerja youtu be kwzh-o suasana tegang aksi tolak uu cipta kerja bandung
95,"Omnibuslaw dalam UU Cipta Kerja adalah karpet merah untuk perbudakan modern, Jangan Diam, Lawan!!

#CabutOmnibusLaw 
#BatalkanUUCiptaKerja 
@FSPMI_KSPI @officialMKRI @DPR_RI @jokowi https://t.co/rTugA2d2aW","Omnibuslaw dalam UU Cipta Kerja adalah karpet merah untuk perbudakan modern, Jangan Diam, Lawan!!

#CabutOmnibusLaw 
#BatalkanUUCiptaKerja 
    https://t.co/rTugA2d2aW","Omnibuslaw dalam UU Cipta Kerja adalah karpet merah untuk perbudakan modern, Jangan Diam, Lawan!!

CabutOmnibusLaw 
BatalkanUUCiptaKerja 
    https://t.co/rTugAdaW","['omnibuslaw', 'uu', 'cipta', 'kerja', 'karpet', 'merah', 'budak', 'modern', 'diam', 'lawan', 'cabutomnibuslaw', 'batalkanuuciptakerja']",omnibuslaw uu cipta kerja karpet merah budak modern diam lawan cabutomnibuslaw batalkanuuciptakerja
64,@jimmy_sitohang @LJibroz @arifboyolali @NASAlbantani @zenstrive @MiziRisqa @fadlizon @DPR_RI @puanmaharani_ri Omnibuslaw atau UU Cipta kerja tidak.sesuai dengan konstitusi UUD kita... clear!,         Omnibuslaw atau UU Cipta kerja tidak.sesuai dengan konstitusi UUD kita... clear!,         Omnibuslaw atau UU Cipta kerja tidak.sesuai dengan konstitusi UUD kita... clear!,"['omnibuslaw', 'uu', 'cipta', 'kerja', 'tidak sesuai', 'konstitusi', 'uud', '', 'clear']",omnibuslaw uu cipta kerja tidak sesuai konstitusi uud clear
234,"""tak ada opsi perppu batalkan omnibuslaw cipta kerja meski didemo aktivis mahasiswa dan rakyat..aksi massa engk ada efek...
#TolakUUCiptaKerjaa 
#HidupMahasiswa 
#DPRPengkhianatRakyat 
#gedungdprprovinsibengkulu https://t.co/SrzK9HewI0","""tak ada opsi perppu batalkan omnibuslaw cipta kerja meski didemo aktivis mahasiswa dan rakyat..aksi massa engk ada efek...
#TolakUUCiptaKerjaa 
#HidupMahasiswa 
#DPRPengkhianatRakyat 
#gedungdprprovinsibengkulu https://t.co/SrzK9HewI0","""tak ada opsi perppu batalkan omnibuslaw cipta kerja meski didemo aktivis mahasiswa dan rakyat..aksi massa engk ada efek...
TolakUUCiptaKerjaa 
HidupMahasiswa 
DPRPengkhianatRakyat 
gedungdprprovinsibengkulu https://t.co/SrzKHewI","['opsi', 'perppu', 'batal', 'omnibuslaw', 'cipta', 'kerja', 'demo', 'aktivis', 'mahasiswa', 'rakyat', '', 'aksi', 'massa', 'engk', 'efek', '', 'tolakuuciptakerjaa', 'hidupmahasiswa', 'dprpengkhianatrakyat', 'gedungdprprovinsibengkulu']",opsi perppu batal omnibuslaw cipta kerja demo aktivis mahasiswa rakyat aksi massa engk efek tolakuuciptakerjaa hidupmahasiswa dprpengkhianatrakyat gedungdprprovinsibengkulu
487,"Yang mau memahami Omnibus law Cipta kerja silahkan download di google drive gw drive.google.com/file/d/1JGe9kP…

Terus silahkan baca 900 halaman lebih ya.","Yang mau memahami Omnibus law Cipta kerja silahkan download di google drive gw drive.google.com/file/d/1JGe9kP…

Terus silahkan baca 900 halaman lebih ya.","Yang mau memahami Omnibus law Cipta kerja silahkan download di google drive gw drive.google.com/file/d/JGekP…

Terus silahkan baca  halaman lebih ya.","['paham', 'omnibus', 'law', 'cipta', 'kerja', 'silah', 'download', 'google', 'drive', 'gw', 'drive google com file d jgekp', 'silah', 'baca', 'halaman', 'ya']",paham omnibus law cipta kerja silah download google drive gw drive google com file d jgekp silah baca halaman ya
274,"Karena tidak paham Omnibuslaw Cipta Kerja, pemuda ini nekat membacanya semalaman sebelum demo. Al hasil begini: https://t.co/uBqByQrVZj","Karena tidak paham Omnibuslaw Cipta Kerja, pemuda ini nekat membacanya semalaman sebelum demo. Al hasil begini: https://t.co/uBqByQrVZj","Karena tidak paham Omnibuslaw Cipta Kerja, pemuda ini nekat membacanya semalaman sebelum demo. Al hasil begini: https://t.co/uBqByQrVZj","['paham', 'omnibuslaw', 'cipta', 'kerja', 'pemuda', 'nekat', 'baca', 'malam', 'demo', 'al', 'hasil']",paham omnibuslaw cipta kerja pemuda nekat baca malam demo al hasil
91,"@FaGtng Pake otak gak proff ini. Yg dibatalkan Biden keputusan presiden bkn undang2. Jd gimana logikanya UU Omnibuslaw Cipta Kerja yg dibuat bersama DPR dgn mudahnya dibatalkan presiden.
Hanya Doktor bodoh yg berfikir spt itu.
CC @RizalRamli_id"," Pake otak gak proff ini. Yg dibatalkan Biden keputusan presiden bkn undang2. Jd gimana logikanya UU Omnibuslaw Cipta Kerja yg dibuat bersama DPR dgn mudahnya dibatalkan presiden.
Hanya Doktor bodoh yg berfikir spt itu.
CC "," Pake otak gak proff ini. Yg dibatalkan Biden keputusan presiden bkn undang. Jd gimana logikanya UU Omnibuslaw Cipta Kerja yg dibuat bersama DPR dgn mudahnya dibatalkan presiden.
Hanya Doktor bodoh yg berfikir spt itu.
CC ","['pake', 'otak', 'gak', 'proff', 'yg', 'batal', 'biden', 'putus', 'presiden', 'bkn', 'undang', 'jd', 'gimana', 'logika', 'uu', 'omnibuslaw', 'cipta', 'kerja', 'yg', 'dpr', 'dgn', 'mudah', 'batal', 'presiden', 'doktor', 'bodoh', 'yg', 'berfikir', 'spt', 'cc']",pake otak gak proff yg batal biden putus presiden bkn undang jd gimana logika uu omnibuslaw cipta kerja yg dpr dgn mudah batal presiden doktor bodoh yg berfikir spt cc
